,Action,Time
0,start,783872.7456128
1,Image_Change,783875.7481738
2,right,783876.4139466
3,right,783877.1309414
4,Image_Change,783878.7810188
5,left,783879.8978532
6,Image_Change,783881.7621455
7,left,783882.5482168
8,left,783883.4968923
9,left,783884.5967956
10,Image_Change,783884.7638945
11,right,783885.007299
12,Image_Change,783887.7630417
13,right,783889.2282734
14,right,783889.7292287
15,left,783890.6114253
16,Image_Change,783890.7775988
17,left,783891.2969365
18,left,783892.1782714
19,right,783892.6787265
20,left,783893.3456257
21,Image_Change,783893.7613776
22,left,783894.2945363
23,right,783895.0564923
24,right,783895.6118867
25,Image_Change,783896.7783442
26,right,783897.7628187
27,right,783898.1960279
28,right,783898.7615634
29,left,783899.2601279
30,left,783899.742195
31,Image_Change,783899.7614523
32,left,783902.1929284
33,Image_Change,783902.7629999
34,left,783902.829701
35,left,783903.61294
36,right,783904.1451268
37,right,783904.7100116
38,Image_Change,783905.7628938
39,Image_Change,783908.7621359
40,right,783910.1798665
41,left,783911.2473567
42,left,783911.6440949
43,Image_Change,783911.7595391
44,left,783913.1778515
45,Image_Change,783914.7777867
46,left,783916.6269846
47,right,783917.2545315
48,Image_Change,783917.7592599
49,right,783920.1630232
50,Image_Change,783920.7756579
51,Image_Change,783923.7766025
52,left,783923.8432502
53,left,783926.3274189
54,Image_Change,783926.7779124
55,Image_Change,783929.7767349
56,left,783930.4106559
57,Image_Change,783932.7944484
58,stop,783946.6426384
